"표준 성분명
standard_name","제품 카테고리
category","최종 등급
risk_level","왜 이 등급인지
basis","사용자 주의사항 - 초본
warning","사용자 주의사항
warning","사용자용 쉬운 설명
description"
C11-14 아이소알코올(C13-rich) 에톡실레이트,비이온계 계면활성제,Medium,"EWG - C
EPA - green circle","Causes skin corrosion (some)
Causes respiratory irritation (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,C11-14 아이소알코올(C13-rich) 에톡실레이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
C12-15 알코올 에톡실레이트,비이온계 계면활성제,Medium,"EWG - D
EPA - green circle","Chronic toxicity to aquatic life (some)
Causes skin corrosion (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,C12-15 알코올 에톡실레이트은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
C16-18 지방산,지방산,Low,"EWG - B
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",C16-18 지방산은(는) 제품의 기능을 보조하기 위해 사용되는 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
"N,N-다이메틸도데실아민 N-옥사이드",양쪽성 계면활성제,Medium,"EWG - C
EPA - green circle","Harmful if swallowed (some)
Causes skin and eye irritation (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,"N,N-다이메틸도데실아민 N-옥사이드은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다."
d-페노트린,살충제,High,,,분사액을 직접 흡입하지 말고 사용 후 충분히 환기하세요. 음식물·반려동물·어린이 주변 사용을 피하세요.,"d-페노트린은(는) 벌레를 죽이거나 접근을 줄이기 위해 쓰이는 살충·기피 성분입니다. 벌레에 작용하는 성분이라 흡입하거나 먹지 않도록 해야 하며, 주변 환경과 반려동물에도 주의가 필요합니다."
"α-[3-[1,3,3,3-테트라메틸-1-[(트라이메틸실릴)옥시]다이실록사닐]프로필]-ω-하이드록시-폴리(옥시-1,2-에탄다이일)",실리콘계 계면활성/성능보조,Medium,,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,"α-[3-[1,3,3,3-테트라메틸-1-[(트라이메틸실릴)옥시]다이실록사닐]프로필]-ω-하이드록시-폴리(옥시-1,2-에탄다이일)은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다."
"α-도데실-ω-하이드록시-폴리(옥시-1,2-에탄디일)",비이온계 계면활성제,Medium,,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,"α-도데실-ω-하이드록시-폴리(옥시-1,2-에탄디일)은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다."
감나무잎추출물,식물추출물,Low,EWG - C,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","감나무잎추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
개미산,pH조절제,High,"EWG - F
EPA - green circle","Skin irritation/allergies/damage (high)
respiratory effects (some)","반드시 환기하며 사용하고 장갑을 착용하세요. 눈·피부에 닿지 않게 하고, 다른 세정제와 섞지 마세요.",개미산은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 강한 산성·알칼리성 때문에 피부나 눈에 심한 자극을 줄 수 있어 반드시 주의가 필요합니다.
과산화수소,산화제/표백,Medium,"EWG - A
EPA - green circle",,눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,"과산화수소은(는) 얼룩 제거, 표백 또는 살균을 돕는 산화제 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다."
과탄산나트륨,산화제/표백,Medium,"EWG - A
EPA - green circle",,눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,"과탄산나트륨은(는) 얼룩 제거, 표백 또는 살균을 돕는 산화제 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다."
구연산,산/세정성분,Low,"EWG - A
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",구연산은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
구연산나트륨,킬레이트/pH조절,Low,"EWG - A
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",구연산나트륨은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
귤껍질추출물,식물추출물,Low,EWG - B,May cause an allergic skin reaction (some),"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","귤껍질추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
글루콘산나트륨,킬레이트/세정보조,Low,"EWG - B
EPA - green circle","Harmful if swallowed (some)
Causes eye irritation (some)","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",글루콘산나트륨은(는) 금속 이온을 잡아 세정력과 제품 안정성을 돕는 킬레이트 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
글루콘산아연,성능보조,Medium,EWG - C,"Harmful if swallowed (some)
Causes eye irritation (some)",눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,글루콘산아연은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다.
글리세린,보습/성능보조,Low,"EWG - A
EPA - green circle",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",글리세린은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
녹차추출물,식물추출물,Low,EWG - C,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","녹차추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
다이-(탈로우-카르복시에틸)하이드록시에틸메틸암모늄메틸황산,양이온계 계면활성제/유연제,Medium,,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,다이-(탈로우-카르복시에틸)하이드록시에틸메틸암모늄메틸황산은(는) 섬유를 부드럽게 하거나 정전기를 줄이는 양이온계 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
다이소듐이디티에이,킬레이트제,Medium,EWG - C,"Harmful if swallowed (some)
Causes respiratory, skin and eye irritation (some)",눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,다이소듐이디티에이은(는) 금속 이온을 잡아 세정력과 제품 안정성을 돕는 킬레이트 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다.
다이에틸렌글라이콜모노부틸에테르,용제,Medium,"EWG - 
EPA - green circle",,밀폐된 공간에서 오래 흡입하지 말고 환기하세요. 화기 주변 사용을 피하고 눈·피부 접촉을 줄이세요.,다이에틸렌글라이콜모노부틸에테르은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 성분을 녹이고 퍼지게 하지만 냄새가 강하거나 밀폐공간에서 오래 노출되면 불편감을 줄 수 있습니다.
다이프로필렌글라이콜,용제/성능보조,Low,"EWG - C
EPA - green circle","Toxic if inhaled (some)
Causes respiratory irritation (some)
Causes skin corrosion (some)","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",다이프로필렌글라이콜은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
다이프로필렌글라이콜메틸에테르,용제,Medium,"EWG - D
EPA - green circle","Cause reproductive toxicity (some)
Toxic if inhaled (some)
Causes respiratory irritation (some)",밀폐된 공간에서 오래 흡입하지 말고 환기하세요. 화기 주변 사용을 피하고 눈·피부 접촉을 줄이세요.,다이프로필렌글라이콜메틸에테르은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 성분을 녹이고 퍼지게 하지만 냄새가 강하거나 밀폐공간에서 오래 노출되면 불편감을 줄 수 있습니다.
데실옥틸글루코사이드,비이온계 계면활성제,Low,EWG - B,Low concern for skin burns and eye damage,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",데실옥틸글루코사이드은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
도데실알코올폴리옥시메틸렌에테르,비이온계 계면활성제,Medium,,,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,도데실알코올폴리옥시메틸렌에테르은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
디에틸에스터디메틸암모늄클로라이드,양이온계 계면활성제/유연제,Medium,EWG - D,"Asthmagen (moderate)
Causes reproductive toxicity (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,디에틸에스터디메틸암모늄클로라이드은(는) 섬유를 부드럽게 하거나 정전기를 줄이는 양이온계 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
디에틸톨루아미드,살생물/기피제,Medium,EWG - D,"Causes skin and eye irritation (some)
Harmful if swallowed (some)",눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,디에틸톨루아미드은(는) 벌레를 죽이거나 접근을 줄이기 위해 쓰이는 살충·기피 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다.
라우릭애씨드,지방산/계면활성제,Low,"EWG - B
EPA - green circle",Low concern for biodegradation; skin allergies and irritation,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",라우릭애씨드은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
라우릴글루코사이드,비이온계 계면활성제,Low,"EWG - B
EPA - green circle",Low concern for biodegradation; skin allergies and irritation,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",라우릴글루코사이드은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
라우릴베타인,양쪽성 계면활성제,Medium,EWG - C,"May cause an allergic skin reaction and eye damage (some)
Harmful if swallowed (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,라우릴베타인은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
레몬껍질추출물,식물추출물,Low,EWG - B,May cause an allergic skin reaction (some),"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","레몬껍질추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
레몬추출물,식물추출물,Low,EWG - B,May cause an allergic skin reaction (some),"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","레몬추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
로즈힙열매추출물,식물추출물,Low,EWG - C,Evidence of skin irritation/allergies/damage,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","로즈힙열매추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
리날로올,향료 알레르기성분,Medium,EWG - C,"Causes severe skin burns and eye damage (some)
Toxic if swallowed/inhaled (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"리날로올은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
리날릴아세테이트,향료 구성성분,Medium,EWG - C,May cause an allergic skin reaction and eye irritation (some),향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"리날릴아세테이트은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
리모넨,"향료 알레르기성분
",Medium,"EWG - C
EPA - yellow triangle","Skin irritation (some)
Toxic if swallowed/inhaled (some)
Causes respiratory irritation (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"리모넨은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
메토플루트린,살충제,High,,,분사액을 직접 흡입하지 말고 사용 후 충분히 환기하세요. 음식물·반려동물·어린이 주변 사용을 피하세요.,"메토플루트린은(는) 벌레를 죽이거나 접근을 줄이기 위해 쓰이는 살충·기피 성분입니다. 벌레에 작용하는 성분이라 흡입하거나 먹지 않도록 해야 하며, 주변 환경과 반려동물에도 주의가 필요합니다."
메틸프로판다이올,용제/보습,Low,EWG - C,"May cause respiratory, skin and eye irritation (some)","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",메틸프로판다이올은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
멘톨,청량/향료,Medium,EWG - C,"May cause respiratory irritation (some)
Causes skin burns and eye damage (some)
Harmful if swallowed (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"멘톨은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
모과추출물,식물추출물,Low,EWG - C,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","모과추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
목분,기재/충전재,Low,,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","목분은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다."
몰로키아잎추출물,식물추출물,Low,EWG - C,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","몰로키아잎추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
미리스틱애씨드,지방산/계면활성제,Low,"EWG - B
EPA - green circle","Low concern for skin allergies & irritaiton, developmental/endocrine/reproductive effects","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",미리스틱애씨드은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
베르가못잎추출물,식물추출물,Medium,EWG - C,Evidence of acute aquatic toxicity; skin irritation/allergies/damage; respiratory effects,천연 성분이라도 알레르기가 있을 수 있으므로 민감한 피부에는 먼저 소량으로 확인하세요.,베르가못잎추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 천연 유래라도 개인에 따라 피부 알레르기나 자극이 생길 수 있어 주의가 필요합니다.
벤조산,보존제,Medium,"EWG - C
EPA - green circle","May cause drowsiness or dizzinese (some)
Harmful if swallowed/inhaled (some)
May cause respiratory irritation (some)",피부가 민감하면 직접 접촉을 줄이고 눈에 들어가지 않게 하세요. 이상 반응이 있으면 사용을 중단하세요.,벤조산은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 제품 보존에는 도움이 되지만 일부 사용자에게 피부 자극이나 알레르기 반응을 일으킬 수 있습니다.
벤조산나트륨,보존제,Medium,EWG - B,Causes developmental toxicity at high doses (moderate),피부가 민감하면 직접 접촉을 줄이고 눈에 들어가지 않게 하세요. 이상 반응이 있으면 사용을 중단하세요.,벤조산나트륨은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 제품 보존에는 도움이 되지만 일부 사용자에게 피부 자극이나 알레르기 반응을 일으킬 수 있습니다.
벤질살리실레이트,향료 알레르기성분,Medium,EWG - C,"May cause an allergic skin reaction and  eye irritation (some)
May cause developmental and reproductive toxicity (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"벤질살리실레이트은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
벤질알코올,향료 알레르기성분/용제,Medium,"EWG - C
EPA - yellow triangle","Harmful if swallowed/inhaled (moderate)
Causes eye irritation (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"벤질알코올은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
병풀추출물,식물추출물,Low,EWG - C,May cause eye irritation (some),"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","병풀추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
부탄,추진제,High,EWG - C,,화기 근처에서 사용하지 말고 밀폐된 공간에서 오래 흡입하지 마세요. 사용 후 충분히 환기하세요.,부탄은(는) 분사형 제품에서 내용물을 밖으로 밀어내는 추진제 성분입니다. 휘발성·가연성이 있어 불꽃 가까이에서 사용하거나 밀폐공간에서 오래 흡입하면 위험할 수 있습니다.
부틸렌글라이콜,용제/보습,Low,EWG - C,"May cause drowsiness or dizziness (some)
May cause respiratory and skin irritation (some)","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",부틸렌글라이콜은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
부틸페닐메칠프로피오날,향료 알레르기성분,High,EWG - D,"May cause an allergic skin reaction (some)
Harmful if swallowed (some)",사용 시 환기하고 장갑을 착용하세요. 눈·피부 접촉과 흡입을 피하고 다른 제품과 섞지 마세요.,"부틸페닐메칠프로피오날은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 피부·눈 자극, 흡입 유해성 또는 환경독성 우려가 있어 주의해서 사용해야 합니다."
부틸하이드록시톨루엔,산화방지제,Medium,EWG - C,"Causes skin and eye irritation (some)
Harmful if swallowed (some)",눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,부틸하이드록시톨루엔은(는) 제품의 기능을 보조하기 위해 사용되는 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다.
비터오렌지껍질추출물,식물추출물,Low,EWG - C,"acute toxicity to aquatic life (some)
skin irritation (some)","일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","비터오렌지껍질추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
